Elementos: 1, work_group_size: 1, Grupos:1
Elementos: 2, work_group_size: 1, Grupos:2
Elementos: 3, work_group_size: 1, Grupos:3
Elementos: 4, work_group_size: 1, Grupos:4
Elementos: 5, work_group_size: 1, Grupos:5
Elementos: 6, work_group_size: 1, Grupos:6
Elementos: 7, work_group_size: 1, Grupos:7
Elementos: 8, work_group_size: 1, Grupos:8
Elementos: 9, work_group_size: 1, Grupos:9
Elementos: 10, work_group_size: 1, Grupos:10
Elementos: 11, work_group_size: 1, Grupos:11
Elementos: 12, work_group_size: 4, Grupos:3
Elementos: 13, work_group_size: 1, Grupos:13
Elementos: 14, work_group_size: 1, Grupos:14
Elementos: 15, work_group_size: 1, Grupos:15
Elementos: 16, work_group_size: 2, Grupos:8
Elementos: 17, work_group_size: 1, Grupos:17
Elementos: 18, work_group_size: 2, Grupos:9
Elementos: 19, work_group_size: 1, Grupos:19
Elementos: 20, work_group_size: 4, Grupos:5
Elementos: 21, work_group_size: 1, Grupos:21
Elementos: 22, work_group_size: 2, Grupos:11
Elementos: 23, work_group_size: 1, Grupos:23
Elementos: 24, work_group_size: 8, Grupos:3
Elementos: 25, work_group_size: 1, Grupos:25
Elementos: 26, work_group_size: 2, Grupos:13
Elementos: 27, work_group_size: 1, Grupos:27
Elementos: 28, work_group_size: 4, Grupos:7
Elementos: 29, work_group_size: 1, Grupos:29
Elementos: 30, work_group_size: 2, Grupos:15
Elementos: 31, work_group_size: 1, Grupos:31
Elementos: 32, work_group_size: 4, Grupos:8
Elementos: 33, work_group_size: 3, Grupos:11
Elementos: 34, work_group_size: 2, Grupos:17
Elementos: 35, work_group_size: 1, Grupos:35
Elementos: 36, work_group_size: 4, Grupos:9
Elementos: 37, work_group_size: 1, Grupos:37
Elementos: 38, work_group_size: 2, Grupos:19
Elementos: 39, work_group_size: 1, Grupos:39
Elementos: 40, work_group_size: 5, Grupos:8
Elementos: 41, work_group_size: 1, Grupos:41
Elementos: 42, work_group_size: 3, Grupos:14
Elementos: 43, work_group_size: 1, Grupos:43
Elementos: 44, work_group_size: 4, Grupos:11
Elementos: 45, work_group_size: 5, Grupos:9
Elementos: 46, work_group_size: 2, Grupos:23
Elementos: 47, work_group_size: 1, Grupos:47
Elementos: 48, work_group_size: 16, Grupos:3
Elementos: 49, work_group_size: 1, Grupos:49
Elementos: 50, work_group_size: 5, Grupos:10
Elementos: 51, work_group_size: 1, Grupos:51
