x1	x2	x3	y
1	0	0	2
85	0	0	14450
256	0	0	131072
298	0	0	177608
133	0	0	35378
251	0	0	126002
115	0	0	26450
4	0	0	32
200	0	0	80000
45	0	0	4050
-85	0	0	14450
-32	0	0	2048
140	0	0	39200
53	0	0	5618
29	0	0	1682
75	0	0	11250
255	0	0	130050
191	0	0	72962
303	0	0	183618
511	0	0	522242
676	0	0	913952
841	0	0	1414562
1032	0	0	2130048
956	0	0	1827872
758	0	0	1149128
961	0	0	1847042
979	0	0	1916882
1121	0	0	2513282
1046	0	0	2188232
1041	0	0	2167362
1027	0	0	2109458
1235	0	0	3050450
1052	0	0	2213408
936	0	0	1752192
772	0	0	1191968
915	0	0	1674450
906	0	0	1641672
705	0	0	994050
550	0	0	605000
391	0	0	305762
467	0	0	436178
502	0	0	504008
313	0	0	195938
242	0	0	117128
433	0	0	374978
285	0	0	162450
158	0	0	49928
-26	0	0	1352
172	0	0	59168
-2	0	0	8
-197	0	0	77618
-150	0	0	45000
-347	0	0	240818
-157	0	0	49298
-64	0	0	8192
-3	0	0	18
-69	0	0	9522
-20	0	0	800
-79	0	0	12482
10	0	0	200
-184	0	0	67712
-211	0	0	89042
-47	0	0	4418
153	0	0	46818
235	0	0	110450
314	0	0	197192
363	0	0	263538
415	0	0	344450
257	0	0	132098
86	0	0	14792
246	0	0	121032
41	0	0	3362
-71	0	0	10082
-19	0	0	722
-176	0	0	61952
-383	0	0	293378
-546	0	0	596232
-574	0	0	658952
-590	0	0	696200
-633	0	0	801378
-456	0	0	415872
-293	0	0	171698
-326	0	0	212552
-282	0	0	159048
-255	0	0	130050
-266	0	0	141512
-281	0	0	157922
-82	0	0	13448
-43	0	0	3698
41	0	0	3362
217	0	0	94178
98	0	0	19208
195	0	0	76050
216	0	0	93312
53	0	0	5618
-160	0	0	51200
28	0	0	1568
163	0	0	53138
2	0	0	8
200	0	0	80000
21	0	0	882
-138	0	0	38088
73	0	0	10658
179	0	0	64082
0	0	0	0
-16	0	0	512
-69	0	0	9522
-19	0	0	722
49	0	0	4802
0	0	0	0
-135	0	0	36450
-274	0	0	150152
-482	0	0	464648
-599	0	0	717602
-574	0	0	658952
-701	0	0	982802
-604	0	0	729632
-786	0	0	1235592
-785	0	0	1232450
-656	0	0	860672
-706	0	0	996872
-809	0	0	1308962
-743	0	0	1104098
-782	0	0	1223048
-790	0	0	1248200
-640	0	0	819200
-503	0	0	506018
-463	0	0	428738
-597	0	0	712818
-667	0	0	889778
-710	0	0	1008200
-857	0	0	1468898
-912	0	0	1663488
-930	0	0	1729800
-1118	0	0	2499848
-1138	0	0	2590088
-1215	0	0	2952450
-1342	0	0	3601928
-1279	0	0	3271682
-1340	0	0	3591200
-1299	0	0	3374802
-1298	0	0	3369608
-1226	0	0	3006152
-1319	0	0	3479522
-1121	0	0	2513282
-970	0	0	1881800
-822	0	0	1351368
-655	0	0	858050
-851	0	0	1448402
-894	0	0	1598472
-1011	0	0	2044242
-1205	0	0	2904050
-1392	0	0	3875328
-1515	0	0	4590450
-1456	0	0	4239872
-1350	0	0	3645000
-1167	0	0	2723778
-1229	0	0	3020882
-1082	0	0	2341448
-1111	0	0	2468642
-1216	0	0	2957312
-1371	0	0	3759282
-1323	0	0	3500658
-1296	0	0	3359232
-1218	0	0	2967048
-1017	0	0	2068578
-883	0	0	1559378
-1058	0	0	2238728
-986	0	0	1944392
-844	0	0	1424672
-899	0	0	1616402
-914	0	0	1670792
-1052	0	0	2213408
-1113	0	0	2477538
-1132	0	0	2562848
-1332	0	0	3548448
-1389	0	0	3858642
-1225	0	0	3001250
-1258	0	0	3165128
-1392	0	0	3875328
-1436	0	0	4124192
-1527	0	0	4663458
-1611	0	0	5190642
-1540	0	0	4743200
-1402	0	0	3931208
-1474	0	0	4345352
-1503	0	0	4518018
-1501	0	0	4506002
-1334	0	0	3559112
-1358	0	0	3688328
-1512	0	0	4572288
-1415	0	0	4004450
-1262	0	0	3185288
-1160	0	0	2691200
-1180	0	0	2784800
-1097	0	0	2406818
-1238	0	0	3065288
-1266	0	0	3205512
-1277	0	0	3261458
-1444	0	0	4170272
-1539	0	0	4737042
-1665	0	0	5544450
-1778	0	0	6322568
-1855	0	0	6882050
-2045	0	0	8364050
-2008	0	0	8064128
-1895	0	0	7182050
-1766	0	0	6237512
-1944	0	0	7558272
-1922	0	0	7388168
-1958	0	0	7667528
-2006	0	0	8048072
-2068	0	0	8553248
-1879	0	0	7061282
-1703	0	0	5800418
-1695	0	0	5746050
-1527	0	0	4663458
-1706	0	0	5820872
-1753	0	0	6146018
-1621	0	0	5255282
-1476	0	0	4357152
-1630	0	0	5313800
-1716	0	0	5889312
-1809	0	0	6544962
-1891	0	0	7151762
-1924	0	0	7403552
-1927	0	0	7426658
-2009	0	0	8072162
-1850	0	0	6845000
-1710	0	0	5848200
-1907	0	0	7273298
-2080	0	0	8652800
-2013	0	0	8104338
-2011	0	0	8088242
-1829	0	0	6690482
-1690	0	0	5712200
-1603	0	0	5139218
-1757	0	0	6174098
-1611	0	0	5190642
-1603	0	0	5139218
-1455	0	0	4234050
-1322	0	0	3495368
-1443	0	0	4164498
-1441	0	0	4152962
-1384	0	0	3830912
-1568	0	0	4917248
-1494	0	0	4464072
-1305	0	0	3406050
-1372	0	0	3764768
-1331	0	0	3543122
-1439	0	0	4141442
-1293	0	0	3343698
-1334	0	0	3559112
-1182	0	0	2794248
-1064	0	0	2264192
-1264	0	0	3195392
-1462	0	0	4274888
-1261	0	0	3180242
-1379	0	0	3803282
-1550	0	0	4805000
-1677	0	0	5624658
-1463	0	0	4280738
-1532	0	0	4694048
-1658	0	0	5497928
-1821	0	0	6632082
-1991	0	0	7928162
-2120	0	0	8988800
-2155	0	0	9288050
-1969	0	0	7753922
-1826	0	0	6668552
-1694	0	0	5739272
-1555	0	0	4836050
-1586	0	0	5030792
-1593	0	0	5075298
-1704	0	0	5807232
-1814	0	0	6581192
-1919	0	0	7365122
-1908	0	0	7280928
-1825	0	0	6661250
-1922	0	0	7388168
-1833	0	0	6719778
-1920	0	0	7372800
-2074	0	0	8602952
-2248	0	0	10107008
-2343	0	0	10979298
-2129	0	0	9065282
-2113	0	0	8929538
-1984	0	0	7872512
-1936	0	0	7496192
-1737	0	0	6034338
-1637	0	0	5359538
-1454	0	0	4228232
-1250	0	0	3125000
-1085	0	0	2354450
-969	0	0	1877922
-1071	0	0	2294082
-1171	0	0	2742482
-963	0	0	1854738
-1061	0	0	2251442
-896	0	0	1605632
-840	0	0	1411200
-1046	0	0	2188232
-959	0	0	1839362
-839	0	0	1407842
-880	0	0	1548800
-802	0	0	1286408
-605	0	0	732050
-735	0	0	1080450
-758	0	0	1149128
-715	0	0	1022450
-587	0	0	689138
-715	0	0	1022450
-594	0	0	705672
-541	0	0	585362
-467	0	0	436178
-665	0	0	884450
-830	0	0	1377800
-629	0	0	791282
-725	0	0	1051250
-554	0	0	613832
-761	0	0	1158242
-823	0	0	1354658
-901	0	0	1623602
-1061	0	0	2251442
-1119	0	0	2504322
-1092	0	0	2384928
-1225	0	0	3001250
-1423	0	0	4049858
-1362	0	0	3710088
-1318	0	0	3474248
-1280	0	0	3276800
-1231	0	0	3030722
-1233	0	0	3040578
-1258	0	0	3165128
-1118	0	0	2499848
-1139	0	0	2594642
-1123	0	0	2522258
-1016	0	0	2064512
-953	0	0	1816418
-757	0	0	1146098
-716	0	0	1025312
-623	0	0	776258
-784	0	0	1229312
-569	0	0	647522
-456	0	0	415872
-598	0	0	715208
-668	0	0	892448
-529	0	0	559682
-539	0	0	581042
-366	0	0	267912
-512	0	0	524288
-579	0	0	670482
-642	0	0	824328
-682	0	0	930248
-693	0	0	960498
-659	0	0	868562
-629	0	0	791282
-616	0	0	758912
-412	0	0	339488
-610	0	0	744200
-554	0	0	613832
-517	0	0	534578
-619	0	0	766322
-817	0	0	1334978
-691	0	0	954962
-642	0	0	824328
-505	0	0	510050
-508	0	0	516128
-433	0	0	374978
-545	0	0	594050
